"V1" "V2"
"46" "2-chloro-N-(2,6-diethylphenyl)-N-" "fungicide"
"48" "2-methyl-2-(methylthio)propanal O-" "fungicide"
"49" "2-methyl-2-(methylsulfonyl)propanal O-" "fungicide"
"64" "1H-1,2,4-triazole-3-amine" "fungicide"
"65" "ammonium iron(3+) methylarsonate" "fungicide"
"68" "4,6-dichloro-N-(2-chlorophenyl)-1,3,5-" "fungicide"
"69" "S-(2-((4-chlorophenyl)(1-methylethyl)=" "fungicide"
"70" "bis(mu-(2,3-dihydroxybutanediato(4-)-" "fungicide"
"76" "6-chloro-N-ethyl-N'-(1-methylethyl)-1,3,5-" "fungicide"
"77" "2-(2,4-dichloro-5-(2-propynyloxy)phenyl)-" "fungicide"
"84" "methyl (a)-2-[[6-(2-cyanophenoxy)-4-" "fungicide"
"97" "4-(dichloroacetyl)-3,4-dihydro-3-methyl-" "fungicide"
"99" "O,O-bis(1-methylethyl) S-(2-((phenyl=" "fungicide"
"100" "S,S'-(2-(dimethylamino)-1,3-propanediyl)" "fungicide"
"101" "3-(1-methylethyl)-1H-2,1,3-benzo=" "fungicide"
"110" "1-methylethyl 2-[4-methoxy-(1,1'-" "fungicide"
"115" "(5-(phenylmethyl)-3-furanyl)methyl 2,2-" "fungicide"
"122" "5-bromo-6-methyl-3-(1-methylpropyl)-" "fungicide"
"131" "N'-(4-bromophenyl)-N,N-dimethylurea" "fungicide"
"132" "3-(1-ethylpropyl)phenyl methylcarbamate" "fungicide"
"134" "dibutyl (1-(butylamino)cyclohexyl)=" "fungicide"
"141" "O,O-diethyl ester O-(2-(1,1-dimethylethyl)-" "fungicide"
"143" "3-(methylthio)-2-butanone O-" "fungicide"
"171" "1,2,4,5,6,7,8,8-octachloro-2,3,3a,4,7,7a-" "fungicide"
"175" "4,5,6,7,8,8-hexahydro-3a,4,7,7a-" "fungicide"
"176" "2,3,4,5,7,7-hexachloro-1a,1b,5,5a,6,6a-" "fungicide"
"221" "3,6-bis(2-chlorophenyl)-1,2,4,5-tetrazine" "fungicide"
"225" "3,6-dichloro-2-pyridinecarboxylic acid" "fungicide"
"236" "N-((2-chlorophenyl)methyl)-N'-(1-methyl-1-" "fungicide"
"242" "S-ethyl cyclohexylethylcarbamothioate" "fungicide"
