"V1" "V2"
"7" "4,5,6,7,8,8-hexachloro-3a,4,7,7a-" "herbicide"
"8" "1-methoxy-4-(1,2,2,2-tetrachloroethyl)=" "herbicide"
"12" "2,3,5,6-tetrachloro-4-methoxy=" "herbicide"
"25" "1H-benzimidazol-2-amine" "herbicide"
"27" "2,3-dihydro-2,2-dimethyl-3,7-benzo=" "herbicide"
"28" "2,2-dimethyl-7-(((methylamino)carbonyl)=" "herbicide"
"30" "3-phenoxybenzoic acid" "herbicide"
"35" "N-(phenylmethyl)-1H-purin-6-amine" "herbicide"
"36" "Avermectin B1" "herbicide"
"39" "N-((6-chloro-3-pyridinyl)methyl)-N'-cyano-" "herbicide"
"40" "2-chloro-N-(ethoxymethyl)-N-(2-ethyl-6-" "herbicide"
"41" "1,2,3-benzothiadizaole-7-carbothioic acid," "herbicide"
"45" "cyano(3-phenoxyphenyl)methyl 2,2-" "herbicide"
"47" "ethyl 3,7-dimethyl-6-oxo-9-(phenyl=" "herbicide"
"50" "1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a-" "herbicide"
"55" "cyano(3-phenoxyphenyl)methyl 3-(2,2-" "herbicide"
"56" "aluminum phosphide" "herbicide"
"57" "N-ethyl-N'-(1-methylethyl)-6-(methylthio)-" "herbicide"
"58" "4-amino-N-(1,1-dimethylethyl)-4,5-" "herbicide"
"61" "2-amino-4-(2-aminoethoxy)-3-butenoic" "herbicide"
"67" "(1-aminopropyl)phosphonic acid, (±)-" "herbicide"
"71" "2-chloroethyl 2-(4-(1,1-dimethylethyl)=" "herbicide"
"72" "(4-aminophenyl)arsonic acid" "herbicide"
"74" "methyl ((4-aminophenyl)sulfonyl)=" "herbicide"
"79" "O,O-diethyl S-((4-oxo-1,2,3-benzotriazin-3-" "herbicide"
"80" "O,O-dimethyl S-((4-oxo-1,2,3-benzotriazin-" "herbicide"
"82" "1-(tricyclohexylstannyl)-1H-1,2,4-triazole" "herbicide"
"83" "N-(1-ethyl-1H-pyrazol-5-yl)-N'-phenylurea" "herbicide"
"85" "methyl 2-((6-(2-cyanophenoxy)-4-" "herbicide"
"87" "4-chloro-2-butynyl (3-chlorophenyl)=" "herbicide"
"88" "(3-(4,5-dihydro-isoxazol-3-yl)-4-methane=" "herbicide"
"92" "2,2-dimethyl-1,3-benzodioxol-4-ol" "herbicide"
"94" "ethyl N-(((((2,3-dihydro-2,2-dimethyl-7-" "herbicide"
"98" "methyl 2-((((((4,6-dimethoxy-2-" "herbicide"
"102" "((benzoylamino)oxy)acetic acid" "herbicide"
"104" "2-((4-(2,4-dichloro-3-methylbenzoyl)-1,3-" "herbicide"
"105" "benzoic 3-chloro-N-ethoxy-2,6-" "herbicide"
"109" "1,2,3,4,5,6-hexachlorocyclohexane" "herbicide"
"111" "methyl 5-(2,4-dichlorophenoxy)-2-" "herbicide"
"117" "bis(trichloromethyl)disulfide" "herbicide"
"118" "sodium 2,6-bis[(4,6-dimethoxy-2-" "herbicide"
"119" "β-(1,1'-biphenyl)-4-yloxy-α-(1,1-dimethyl=" "herbicide"
"120" "4-((3-amino-5-(aminoiminomethyl)=" "herbicide"
"125" "3,5-dibromo-4-hydroxybenzaldehyde O-" "herbicide"
"126" "O-(4-bromo-2,5-dichlorophenyl) O,O-" "herbicide"
"128" "1-methylethyl 4-bromo-α-(4-bromo=" "herbicide"
"135" "5-butyl-2-(ethylamino)-6-methyl-4-" "herbicide"
"142" "butyl(4-(1,1-dimethylethyl)phenyl)methyl" "herbicide"
"146" "dimethylarsinic acid" "herbicide"
"147" "O-ethyl S,S-bis(1-methylpropyl)" "herbicide"
"149" "arsenic acid (H3AsO4) calcium salt (2:3)" "herbicide"
"150" "calcium cyanide" "herbicide"
"159" "S-(((4-chlorophenyl)thio)methyl) O,O-" "herbicide"
"165" "2-methyl-5-(1-methylethenyl)-2-" "herbicide"
"168" "1-chloro-4-(((4-chlorophenyl)methyl)=" "herbicide"
"177" "N'-(4-chloro-2-methylphenyl)-N,N-" "herbicide"
"178" "O,O-diethyl O-(1,2,2,2-tetrachloroethyl)=" "herbicide"
"179" "4-bromo-2-(4-chlorophenyl)-1-" "herbicide"
"185" "2-chloro-9-hydroxy-9H-fluorene-9-" "herbicide"
"186" "2-[[[[(4-chloro-6-methoxy-2-pyrimidinyl)=" "herbicide"
"189" "1,3,5-trichloro-2-(4-nitrophenoxy)benzene" "herbicide"
"191" "trichloromethane" "herbicide"
"192" "1,4-dichloro-2,5-dimethoxybenzene" "herbicide"
"193" "2-[(4-chlorophenyl)phenylacetyl]-1H-" "herbicide"
"195" "1-methylethyl 4-chloro-α-(4-chlorophenyl)-" "herbicide"
"196" "sulfamoyl chloride" "herbicide"
"201" "tributyl[(2,4-dichlorophenyl)methyl]=" "herbicide"
"202" "7-(2-chlorophenyl)-4-ethoxy-3,5-dioxa-6-" "herbicide"
"204" "O,O-diethyl O-(3,5,6-trichloro-2-pyridinyl)" "herbicide"
"206" "2-chloro-N-(((4-methoxy-6-methyl-1,3,5-" "herbicide"
"211" "3,4-dihydro-5-methyl-2H-1-benzopyran-6-" "herbicide"
"217" "2-propynyl-(R)-2-(4-(5-chloro-3-fluoro-2-" "herbicide"
"218" "2-(2-chloro-1-methoxyethoxy)phenyl" "herbicide"
"223" "2-(2,4-dichloro-3-methylphenoxy)-N-" "herbicide"
"227" "methyl 3-chloro-2-(((5-ethoxy-7-fluoro[1, 2," "herbicide"
"228" "N-[(2-chloro-5-thiazolyl)methyl]-N'-methyl-" "herbicide"
"229" "1,2,4,5,6,7,8,8-octachloro-2,3,3a,4,7,7a-" "herbicide"
"232" "O-(3-chloro-4-methyl-2-oxo-2H-1-" "herbicide"
"241" "1-(((2,4-dichlorophenyl)amino)carbonyl)=" "herbicide"
"246" "N-(((2-(cyclopropylcarbonyl)phenyl)amino)=" "herbicide"
"247" "2-(1-(ethoxyimino)butyl)-3-hydroxy-5-" "herbicide"
"248" "N'-cyclooctyl-N,N-dimethylurea" "herbicide"
"252" "cyano(3-phenoxyphenyl)methyl 3-(2-" "herbicide"
"260" "6-chloro-N-cyclopropyl-N'-(1-methylethyl)-" "herbicide"
"261" "(4-chlorophenyl)-α-(1-cyclopropylethyl)-" "herbicide"
"262" "4-cyclopropyl-6-methyl-N-phenyl-2-" "herbicide"
"269" "tetrahydro-3,5-dimethyl-2H-1,3,5-" "herbicide"
"270" "2,2'-oxybis(1-chloropropane)" "herbicide"
"276" "1-chloro-2-(2,2,2-trichloro-1-(4-" "herbicide"
"277" "1-chloro-2-(2,2,2-trichloro-1-(4-" "herbicide"
"281" "cyano(3-phenoxyphenyl)methyl 3-(2,2-" "herbicide"
"284" "O,O-diethyl S-(2-(ethylthio)ethyl)" "herbicide"
"289" "N-(2,6-bis(1-methylethyl)-4-phenoxy=" "herbicide"
"293" "dibutyl 1,2-benzenedicarboxylate" "herbicide"
"294" "3,6-dichloro-2-methoxybenzoic acid" "herbicide"
"297" "1,1-dichloro-N-((dimethylamino)sulfonyl)-" "herbicide"
"298" "2,3-dichloro-1,4-naphthalenedione" "herbicide"
"304" "2-(2,4-dichlorophenoxy)propanoic acid," "herbicide"
"305" "2,2-dichloroethenyl dimethyl phosphate" "herbicide"
"306" "β-(2,4-dichlorophenyl)methyl)-α-(1,1-" "herbicide"
"307" "2-cyano-N-(1-(2,4-dichlorophenyl)ethyl)-" "herbicide"
"308" "methyl 2-(4-(2,4-dichlorophenoxy)=" "herbicide"
"314" "4,6-diamino-2-(cyclopropylamino)-5-" "herbicide"
"316" "ethyl N-(chloroacetyl)-N-(2,6-" "herbicide"
"319" "1-((2-(2-chloro-4-(4-chlorophenoxy)=" "herbicide"
"321" "1,2-dimethyl-3,5-diphenyl-1H-pyrazolium" "herbicide"
"327" "5-heptyldihydro-2(3H)-furanone" "herbicide"
"329" "1,1'-(2-nitrobutylidene)bis(4-chloro=" "herbicide"
"334" "N-(1,2-dimethylpropyl)-N'-ethyl-6-" "herbicide"
"338" "O,O-dimethyl S-(2-(methylamino)2-" "herbicide"
"339" "4-(3-(4-chlorophenyl)-3-(3,4-dimethoxy=" "herbicide"
"345" "4,6-dinitrophenyl 2-(1-methylheptyl)-2-" "herbicide"
"352" "2-methoxy-4H-1,3,2-benzodioxa=" "herbicide"
"353" "2-(1,3-dioxolan-2-yl)phenyl" "herbicide"
"357" "6-(ethylthio)-N,N'-bis(1-methylethyl)-1,3,5-" "herbicide"
"359" "2,2'-dithiobis(pyridine) 1,1'-dioxide" "herbicide"
"361" "sodium 2-(2,4-dichlorophenoxy)ethanyl" "herbicide"
"362" "O,O-diethyl S-(2-(ethylthio)ethyl)" "herbicide"
"365" "S,S'-dimethyl (2-difluoromethyl)-4-(2-" "herbicide"
"369" "dodecylguanidine monoacetate" "herbicide"
"372" "disodium methylarsonate" "herbicide"
"379" "disodium 7-oxabicyclo(2.2.1)heptane-2,3-" "herbicide"
"380" "7-oxabicylo(2.2.1)heptane-2,3-dicarboxylic" "herbicide"
"387" "S-(phenylmethyl) (1,2-dimethylpropyl)=" "herbicide"
"395" "5-amino-1-(2,6-dichloro-4-(trifluoro=" "herbicide"
"403" "1,1'-(2,2-dichloroethylidene)bis(4-" "herbicide"
"404" "1,2-dibromoethane" "herbicide"
"410" "1-((2-(4-ethoxyphenyl)-2-methylpropoxy)=" "herbicide"
"414" "5-methyl-5-(4-phenoxyphenyl)-3-" "herbicide"
"419" "ethyl 3-methyl-4-(methylthio)phenyl (1-" "herbicide"
"420" "(2-chlorophenyl)-α-(4-chlorophenyl)-5-" "herbicide"
"421" "4-(2-(4-(1,1-dimethylethyl)phenyl)ethoxy)=" "herbicide"
"422" "(2-(4-chlorophenyl)ethyl)-α-phenyl-1H-" "herbicide"
"423" "hexakis(2-methyl-2-phenylpropyl)=" "herbicide"
"425" "3,5-diethylphenyl methylcarbamate" "herbicide"
"426" "2-methyl-N-phenyl-3-furancarboxamide" "herbicide"
"428" "O,O-dimethyl O-(3-methyl-4-nitrophenyl)" "herbicide"
"431" "N-(3,4-dichlorophenyl)hexahydro-1,3-" "herbicide"
"432" "ethyl 2-(4-((6-chloro-2-benzoxazolyl)=" "herbicide"
"436" "cyano(3-phenoxyphenyl)methyl 2,2,3,3-" "herbicide"
"441" "4-chlorophenyl benzenesulfonate" "herbicide"
"442" "O,O-diethyl O-(4-(methylsulfinyl)phenyl)" "herbicide"
"443" "O,O-dimethyl O-(3-methyl-4-(methyl=" "herbicide"
"444" "N,N-dimethyl-N'-phenylurea" "herbicide"
"445" "cyano(3-phenoxyphenyl)methyl 4-chloro-α-" "herbicide"
"447" "4,6-dimethyl-2(1H)-pyrimidone (1-(2-" "herbicide"
"448" "5-amino-1-(2,6-dichloro-4-(trifluoro=" "herbicide"
"451" "N-benzoyl-N-(3-chloro-4-fluorophenyl)," "herbicide"
"452" "methyl N-benzoyl-N-(3-chloro-4-" "herbicide"
"453" "N-(((4,6-dimethoxy-2-pyrimidinyl)amino)=" "herbicide"
"456" "butyl 2-(4-((5-(trifluoromethyl)-2-" "herbicide"
"457" "3-chloro-N-(3-chloro-2,6-dinitro-4-" "herbicide"
"458" "1-methylethyl 5-(4-bromo-1-methyl-5-" "herbicide"
"459" "N-(((4-chloro-3-((3-chloro-5-(trifluoro=" "herbicide"
"460" "N-(3-phenyl-4,5-bis((trifluoromethyl)=" "herbicide"
"461" "sodium 4,5-dihydro-3-methoxy-4-methyl-" "herbicide"
"462" "N-(2-chloroethyl)-2,6-dinitro-N-propyl-4-" "herbicide"
"465" "4-(2,2-difluoro-1,3-benzodioxol-4-yl)-1H-" "herbicide"
"473" "2-(7-fluoro-3,4-dihydro-3-oxo-4-(2-" "herbicide"
"492" "1-methylheptyl ((4-amino-3,5-dichloro-6-" "herbicide"
"496" "methyl ((2-chloro-4-fluoro-5-((tetrahydro-" "herbicide"
"499" "cyano(3-phenoxyphenyl)methyl N-(2-" "herbicide"
