"V1" "V2"
"11" "2,3,5,6-tetrachloroaniline" "insecticide"
"21" "4-(2,4-dichlorophenoxy) butanoic acid" "insecticide"
"22" "2,4-dichloro-6-nitrobenzenamine" "insecticide"
"24" "2-amino-4-(2-aminoethoxy)-3-butenoic" "insecticide"
"31" "4-(dichloroacetyl)-1-oxa-4-azaspiro=" "insecticide"
"33" "4-chloro-6-methoxy-1H-indole" "insecticide"
"34" "(4-chlorophenoxy)acetic acid" "insecticide"
"37" "O,S-dimethyl acetylphosphoramidothioate" "insecticide"
"42" "5-(2-chloro-4-(trifluoromethyl)phenoxy)-2-" "insecticide"
"51" "2-methyl-4-oxo-3-(2-propenyl)-2-" "insecticide"
"52" "2-chloro-N,N-di-2-propenylacetamide" "insecticide"
"59" "N-(((((4,6-dimethoxy-2-pyrimidinyl)amino)=" "insecticide"
"60" "4-(dimethylamino)-3-methylphenyl" "insecticide"
"62" "4-(2,4-dichlorophenoxy)benzenamine" "insecticide"
"66" "monoammonium sulfamate" "insecticide"
"73" "arsenic acid" "insecticide"
"75" "sodium 2-methoxy-5-nitrophenol" "insecticide"
"81" "4-azido-N-(1-methylethyl)-6-(methylthio)-" "insecticide"
"90" "methyl N-(2,6-dimethylphenyl)-N-" "insecticide"
"93" "N-butyl-N-ethyl-2,6-dinitro-4-" "insecticide"
"95" "2-iodo-N-phenylbenzamide" "insecticide"
"96" "methyl (1-((butylamino)carbonyl)-1H-" "insecticide"
"106" "ethyl N-benzoyl-N-(3,4-dichlorophenyl)-" "insecticide"
"107" "N-2-benzothiazolyl-N'-methylurea" "insecticide"
"108" "3-benzo(b)thien-2-yl-5,6-dihydro-1,4,2-" "insecticide"
"112" "(2-methyl(1,1'-biphenyl)-3-yl)methyl 3-(2-" "insecticide"
"113" "4-(hydroxymethylphosphinyl)-L-2-" "insecticide"
"121" "2-chloro-N-(4'-chloro[1,1'-biphenyl]-2-yl)-" "insecticide"
"123" "3-[3-(4'-bromo[1,1'-biphenyl]-4-yl)-3-" "insecticide"
"129" "3,5-dibromo-4-hydroxybenzonitrile" "insecticide"
"130" "1-((4-bromo-2-(2,4-dichlorophenyl)=" "insecticide"
"136" "2-((1,1-dimethylethyl)imino)tetrahydro-3-" "insecticide"
"139" "2,2-dimethyl-N-(1-methylethyl)-N-" "insecticide"
"140" "O-ethyl O-(5-methyl-2-nitrophenyl) (1-" "insecticide"
"144" "4-(1,1-dimethylethyl)-N-(1-methylpropyl)-" "insecticide"
"148" "N,N-diethyl-3-((2,4,6-trimethylphenyl)=" "insecticide"
"151" "3a,4,7,7a-tetrahydro-2-((1,1,2,2-" "insecticide"
"152" "3a,4,7,7a-tetrahydro-2-((trichloromethyl)=" "insecticide"
"153" "1-naphthalenyl methylcarbamate" "insecticide"
"154" "methyl 1H-benzimidazol-2-ylcarbamate" "insecticide"
"155" "N-ethyl-2-(((phenylamino)carbonyl)oxy)=" "insecticide"
"156" "2,3-dihydro-2,2-dimethyl-7-benzofuranyl" "insecticide"
"157" "carbon disulfide" "insecticide"
"160" "2,3-dihydro-2,2-dimethyl-7-benzofuranyl" "insecticide"
"161" "5,6-dihydro-2-methyl-N-phenyl-1,4-" "insecticide"
"162" "ethyl α,2-dichloro-5-(4-(difluoro=" "insecticide"
"166" "2,4-dichloro-1-(3-methoxy-4-" "insecticide"
"174" "1,1a,3,3a,4,5,5a,6-decachlorooctahydro-" "insecticide"
"181" "2-chloro-1-(2,4-dichlorophenyl)ethenyl" "insecticide"
"183" "(1Z)-2-chloro-1-(2,4-dichlorophenyl)=" "insecticide"
