YR	COUNTRY	CHEMICAL NAME	# CHEM CVRD	% CVRD	# FND CHEM	% FND	VIOL RES	% VIOL
2011 	AFGHANISTAN 	(E)-AZOXYSTROBIN 	4	57	0	0	0	0
2011 	AFGHANISTAN 	(Z)-AZOXYSTROBIN 	4	57	0	0	0	0
2011 	AFGHANISTAN 	"2,3,5,6-TETRACHLOROANILINE "	4	57	0	0	0	0
2011 	AFGHANISTAN 	"3,4-DICHLOROANILINE "	4	57	0	0	0	0
2011 	AFGHANISTAN 	"4-CYCLOHEXENE-1,2-DICARBOXIMIDE, CIS- "	4	57	0	0	0	0
2011 	AFGHANISTAN 	ABAMECTIN 	2	29	0	0	0	0
2011 	AFGHANISTAN 	ACEPHATE 	4	57	0	0	0	0
2011 	AFGHANISTAN 	ACETAMIPRID 	4	57	0	0	0	0
2011 	AFGHANISTAN 	ACIBENZOLAR-S-METHYL 	2	29	0	0	0	0
2011 	AFGHANISTAN 	ACRINATHRIN 	4	57	0	0	0	0
2011 	AFGHANISTAN 	ALANYCARB 	2	29	0	0	0	0
2011 	AFGHANISTAN 	ALDICARB 	2	29	0	0	0	0
2011 	AFGHANISTAN 	ALDICARB SULFOXIDE 	2	29	0	0	0	0
2011 	AFGHANISTAN 	ALDOXYCARB 	2	29	0	0	0	0
2011 	AFGHANISTAN 	ALDRIN 	4	57	0	0	0	0
2011 	AFGHANISTAN 	ALLETHRIN 	4	57	0	0	0	0
2011 	AFGHANISTAN 	AMETRYN 	4	57	0	0	0	0
2011 	AFGHANISTAN 	AMICARBAZONE 	2	29	0	0	0	0
2011 	AFGHANISTAN 	AMINOCARB 	4	57	0	0	0	0
2011 	AFGHANISTAN 	AMITRAZ 	4	57	0	0	0	0
2011 	AFGHANISTAN 	ASPON 	2	29	0	0	0	0
2011 	AFGHANISTAN 	ATRAZINE 	4	57	0	0	0	0
2011 	AFGHANISTAN 	AZINPHOS-METHYL (TOTAL) 	4	57	0	0	0	0
2011 	AFGHANISTAN 	AZOXYSTROBIN 	4	57	0	0	0	0
2011 	AFGHANISTAN 	BENALAXYL 	4	57	0	0	0	0
2011 	AFGHANISTAN 	BENDIOCARB 	4	57	0	0	0	0
2011 	AFGHANISTAN 	BENFLURALIN (BENEFIN) 	4	57	0	0	0	0
2011 	AFGHANISTAN 	BENFURACARB 	2	29	0	0	0	0
2011 	AFGHANISTAN 	BENTAZON 	2	29	0	0	0	0
2011 	AFGHANISTAN 	BENZOXIMATE 	2	29	0	0	0	0
2011 	AFGHANISTAN 	BHC (TOTAL) 	4	57	0	0	0	0
2011 	AFGHANISTAN 	BIFENAZATE 	2	29	0	0	0	0
2011 	AFGHANISTAN 	BIFENTHRIN 	4	57	0	0	0	0
2011 	AFGHANISTAN 	BIPHENYL 	4	57	0	0	0	0
2011 	AFGHANISTAN 	BITERTANOL 	4	57	0	0	0	0
2011 	AFGHANISTAN 	BOSCALID 	4	57	0	0	0	0
2011 	AFGHANISTAN 	BROMOPROPYLATE 	4	57	0	0	0	0
2011 	AFGHANISTAN 	BROMUCONAZOLE 	2	29	0	0	0	0
2011 	AFGHANISTAN 	BUFENCARB 	4	57	0	0	0	0
2011 	AFGHANISTAN 	BUPIRIMATE 	4	57	0	0	0	0
2011 	AFGHANISTAN 	BUPROFEZIN 	4	57	0	0	0	0
2011 	AFGHANISTAN 	BUTAFENACIL 	2	29	0	0	0	0
2011 	AFGHANISTAN 	BUTOCARBOXIM 	2	29	0	0	0	0
2011 	AFGHANISTAN 	BUTOXYCARBOXIM 	2	29	0	0	0	0
2011 	AFGHANISTAN 	BUTRALIN 	4	57	0	0	0	0
2011 	AFGHANISTAN 	BUTYLATE 	4	57	0	0	0	0
2011 	AFGHANISTAN 	CADUSAFOS 	4	57	0	0	0	0
2011 	AFGHANISTAN 	CAPTAN 	4	57	0	0	0	0
2011 	AFGHANISTAN 	CARBARYL 	4	57	0	0	0	0
2011 	AFGHANISTAN 	CARBENDAZIM (MBC) 	2	29	0	0	0	0
2011 	AFGHANISTAN 	CARBETAMIDE 	2	29	0	0	0	0
2011 	AFGHANISTAN 	CARBOFURAN (TOTAL) 	4	57	0	0	0	0
2011 	AFGHANISTAN 	CARBOPHENOTHION (TOTAL*) 	4	57	0	0	0	0
2011 	AFGHANISTAN 	CARBOSULFAN 	4	57	0	0	0	0
2011 	AFGHANISTAN 	CARBOXIN 	4	57	0	0	0	0
2011 	AFGHANISTAN 	CARFENTRAZONE ETHYL ESTER 	2	29	0	0	0	0
2011 	AFGHANISTAN 	CHLORANTRANILIPROLE 	2	29	0	0	0	0
