ExtCode	DetCode	ResCode	ResName
024	01	001	ALDRIN
002	01	001	ALDRIN
102	01	001	ALDRIN
101	01	001	ALDRIN
056	01	001	ALDRIN
055	01	001	ALDRIN
047	01	001	ALDRIN
045	01	001	ALDRIN
042	01	001	ALDRIN
038	01	001	ALDRIN
037	01	001	ALDRIN
034	01	001	ALDRIN
033	01	001	ALDRIN
104	01	001	ALDRIN
029	01	001	ALDRIN
105	01	001	ALDRIN
017	01	001	ALDRIN
015	01	001	ALDRIN
012	01	001	ALDRIN
011	01	001	ALDRIN
010	01	001	ALDRIN
009	01	001	ALDRIN
008	01	001	ALDRIN
007	01	001	ALDRIN
006	01	001	ALDRIN
005	01	001	ALDRIN
004	01	001	ALDRIN
003	01	001	ALDRIN
030	01	001	ALDRIN
631	01	001	ALDRIN
103	01	001	ALDRIN
001	01	001	ALDRIN
628	01	001	ALDRIN
470	01	001	ALDRIN
111	01	001	ALDRIN
110	01	001	ALDRIN
109	01	001	ALDRIN
106	01	001	ALDRIN
024	05	001	ALDRIN
002	05	001	ALDRIN
102	05	001	ALDRIN
101	05	001	ALDRIN
056	05	001	ALDRIN
055	05	001	ALDRIN
047	05	001	ALDRIN
045	05	001	ALDRIN
042	05	001	ALDRIN
038	05	001	ALDRIN
037	05	001	ALDRIN
034	05	001	ALDRIN
033	05	001	ALDRIN
104	05	001	ALDRIN
029	05	001	ALDRIN
105	05	001	ALDRIN
017	05	001	ALDRIN
015	05	001	ALDRIN
012	05	001	ALDRIN
011	05	001	ALDRIN
010	05	001	ALDRIN
009	05	001	ALDRIN
008	05	001	ALDRIN
007	05	001	ALDRIN
006	05	001	ALDRIN
005	05	001	ALDRIN
004	05	001	ALDRIN
003	05	001	ALDRIN
030	05	001	ALDRIN
631	05	001	ALDRIN
103	05	001	ALDRIN
001	05	001	ALDRIN
628	05	001	ALDRIN
470	05	001	ALDRIN
111	05	001	ALDRIN
110	05	001	ALDRIN
109	05	001	ALDRIN
106	05	001	ALDRIN
024	23	001	ALDRIN
002	23	001	ALDRIN
102	23	001	ALDRIN
101	23	001	ALDRIN
056	23	001	ALDRIN
055	23	001	ALDRIN
047	23	001	ALDRIN
045	23	001	ALDRIN
042	23	001	ALDRIN
038	23	001	ALDRIN
037	23	001	ALDRIN
034	23	001	ALDRIN
033	23	001	ALDRIN
104	23	001	ALDRIN
029	23	001	ALDRIN
105	23	001	ALDRIN
017	23	001	ALDRIN
015	23	001	ALDRIN
012	23	001	ALDRIN
011	23	001	ALDRIN
010	23	001	ALDRIN
009	23	001	ALDRIN
008	23	001	ALDRIN
007	23	001	ALDRIN
006	23	001	ALDRIN
005	23	001	ALDRIN
004	23	001	ALDRIN
003	23	001	ALDRIN
030	23	001	ALDRIN
631	23	001	ALDRIN
103	23	001	ALDRIN
001	23	001	ALDRIN
628	23	001	ALDRIN
470	23	001	ALDRIN
111	23	001	ALDRIN
110	23	001	ALDRIN
109	23	001	ALDRIN
106	23	001	ALDRIN
024	45	001	ALDRIN
002	45	001	ALDRIN
102	45	001	ALDRIN
