FY	COUNTRY	INDPD	PRODUCT NAME	ANAL	POS	% POS	VIOL	% VI	CVRD	FND
2011 	AFGHANISTAN 	04Y99 	"MACARONI/NOODLE PRODUCTS NOT ELSEWHERE MENTIONED, N.E.C. "	1	0	0	0	0	0	0
2011 	AFGHANISTAN 	20A10 	RAISINS (DRIED GRAPES)  (BERRY) 	1	0	0	0	0	263	0
2011 	AFGHANISTAN 	21H01 	"APRICOT, DRIED OR PASTE "	2	0	0	0	0	392	0
2011 	AFGHANISTAN 	21H14 	"PLUM, DRIED OR PASTE "	1	0	0	0	0	392	0
2011 	AFGHANISTAN 	21H15 	"PRUNES (DRIED PLUMS), DRIED OR PASTE "	1	1	100	0	0	1	1
2011 	AFGHANISTAN 	22H99 	"OTHER FRUIT AND FRUIT PRODUCTS, DRIED AND PASTE, N.E.C. "	1	0	0	0	0	263	0
2011 	ALBANIA 	54E64 	ST. JOHN'S WORT (HERBAL & BOTANICAL TEAS) 	1	0	0	0	0	308	0
2011 	ALBANIA 	54E99 	"HERBALS & BOTANICAL TEAS, N.E.C. "	1	0	0	0	0	112	0
2011 	ALBANIA 	54F99 	"HERBALS & BOTANICALS (NOT TEAS), N.E.C. "	1	0	0	0	0	0	0
2011 	ARGENTINA 	02B01 	"CORN, BOLTED MEAL OR FLOUR "	2	0	0	0	0	270	0
2011 	ARGENTINA 	02Y99 	"MILLED GRAIN PRODUCTS, N.E.C. "	1	0	0	0	0	392	0
2011 	ARGENTINA 	07B04 	"POPCORN, NOT POPPED, FRIED "	1	1	100	0	0	263	3
2011 	ARGENTINA 	16A47 	WEAKFISH (SEA TROUT) 	2	0	0	0	0	14	0
2011 	ARGENTINA 	16A49 	"WHITING (KING, NORTHERN AND SILVER) "	2	0	0	0	0	308	0
2011 	ARGENTINA 	20A02 	BLUEBERRIES  (BERRY) 	23	12	52	0	0	458	7
2011 	ARGENTINA 	20A14 	STRAWBERRIES  (BERRY) 	8	4	50	0	0	399	8
2011 	ARGENTINA 	20C19 	"HAW, JAMS, JELLIES, PRESERVES, MARMALADES, BUTTERS AND CANDIED "	1	0	0	0	0	342	0
2011 	ARGENTINA 	20N01 	APPLE   (CORE FRUIT) 	1	1	100	0	0	392	2
2011 	ARGENTINA 	20N03 	PEAR        (CORE FRUIT) 	1	0	0	0	0	62	0
2011 	ARGENTINA 	20S01 	"APPLE, CORE FRUIT JUICES OR CONCENTRATES "	4	1	25	0	0	437	3
2011 	ARGENTINA 	20S03 	"PEAR, CORE FRUIT JUICES OR CONCENTRATES "	2	1	50	0	0	436	3
2011 	ARGENTINA 	23K04 	SUNFLOWER SEED (EDIBLE) 	1	0	0	0	0	0	0
2011 	ARGENTINA 	24A04 	CRANBERRY BEAN 	1	0	0	0	0	263	0
2011 	ARGENTINA 	24T02 	ASPARAGUS (LEAF & STEM VEGETABLE) 	2	0	0	0	0	308	0
2011 	ARGENTINA 	25J21 	GARLIC BULB  (ROOT & TUBER VEGETABLE) 	1	0	0	0	0	248	0
2011 	ARMENIA 	20C03 	"BOYSENBERRY, JAM, JELLY, PRESERVES, MARMALADE, BUTTER AND CANDIED "	1	0	0	0	0	342	0
2011 	ARMENIA 	21J03 	"CHERRY, JAM, JELLY, PRESERVES, MARMALADE, BUTTER OR CANDIED "	1	0	0	0	0	308	0
2011 	ARMENIA 	25Y99 	"VEGETABLE & VEGETABLE PRODUCTS NOT MENTIONED ELSEWHERE, N.E.C. "	2	2	100	2	100	399	9
2011 	AUSTRALIA 	24E18 	"ALFALFA BEANS (SEEDS), BEAN AND PEA SPROUTS "	1	0	0	0	0	248	0
2011 	AUSTRALIA 	24E20 	"CHANA DAL, BEAN AND PEA SPROUTS "	1	1	100	0	0	248	1
2011 	AUSTRALIA 	02F08 	"GLUTEN, WHEAT "	1	0	0	0	0	308	0
2011 	AUSTRALIA 	23Y99 	"NUTS OR EDIBLE SEEDS NOT MENTIONED ELSEWHERE, N.E.C. "	1	0	0	0	0	392	0
2011 	AUSTRALIA 	24A20 	CHANA DAL 	1	0	0	0	0	263	0
2011 	AUSTRALIA 	24B09 	"MUNG BEAN, DRIED OR PASTE "	1	0	0	0	0	392	0
2011 	AUSTRALIA 	24B99 	"BEAN, CORN, PEA, DRIED OR PASTE, N.E.C. (VEGETABLE) "	1	0	0	0	0	392	0
2011 	AUSTRALIA 	28N03 	"VANILLA BEAN, RAW MATERIAL FOR EXTRACTS AND FLAVORS "	1	0	0	0	0	342	0
2011 	AUSTRALIA 	31K05 	"TEA, SPICE "	1	0	0	0	0	342	0
2011 	AUSTRALIA 	54F08 	"ENCHINACEA, HERBAL & BOTANICALS (NOT TEAS) "	2	0	0	0	0	248	0
